time/time_elapsed,time/fps,time/iterations,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,train/approx_kl,train/loss,train/clip_range,train/value_loss,train/std,train/n_updates,train/policy_gradient_loss,train/explained_variance,train/entropy_loss,train/learning_rate,train/clip_fraction
1,18437,1,32768,200.0,-1219.4138365299998,,,,,,,,,,,
10,6453,2,65536,200.0,-1208.86871498,0.0014215619,0.11096133291721344,0.3,0.16346245403592546,1.0010024309158325,10,-0.0005042216753281537,-0.006631255,-1.419303811620921,1e-05,0.00030517578125
18,5324,3,98304,200.0,-1168.69630978,0.003560629,0.006851295009255409,0.3,0.029369415524161013,0.995111882686615,20,-0.0018395039131519297,0.6769583,-1.4177987771574407,1e-05,0.0040771484375
26,4882,4,131072,200.0,-1094.47215858,0.00460043,0.011929228901863098,0.3,0.023137773298185494,0.9878706932067871,30,-0.0027013517335944927,0.84173477,-1.410967404092662,1e-05,0.00841064453125
35,4665,5,163840,200.0,-1119.45348586,0.004837068,0.015655580908060074,0.3,0.023846687038349045,0.9768152832984924,40,-0.003555225856780453,0.89409244,-1.4015219350811094,1e-05,0.0108306884765625
43,4540,6,196608,200.0,-1079.03064156,0.006318897,0.008703799918293953,0.3,0.02708027029711957,0.9717860817909241,50,-0.0046180546559298815,0.9215974,-1.3936015695799142,1e-05,0.0117095947265625
51,4433,7,229376,200.0,-1041.7673775999997,0.007158343,0.010108293034136295,0.3,0.02603857527137734,0.9639869928359985,60,-0.0053138132240746925,0.9292276,-1.3867329901782797,1e-05,0.013043212890625
59,4377,8,262144,200.0,-979.4497837000001,0.009076422,-0.007772177457809448,0.3,0.02281394317687955,0.9535919427871704,70,-0.0077814277449760995,0.9118957,-1.376771253813058,1e-05,0.02655029296875
68,4323,9,294912,200.0,-928.59661259,0.00855027,-0.012218915857374668,0.3,0.024060102531075246,0.9458674788475037,80,-0.007298641899978975,0.8991408,-1.3673852157080546,1e-05,0.0272186279296875
76,4279,10,327680,200.0,-900.3263491300002,0.0075728884,0.005152178928256035,0.3,0.022485766730642353,0.9371748566627502,90,-0.00498193459684444,0.90380645,-1.3589645304949953,1e-05,0.0153961181640625
