time/time_elapsed,time/iterations,time/total_timesteps,time/fps,rollout/ep_len_mean,rollout/ep_rew_mean,train/learning_rate,train/clip_range,train/std,train/policy_gradient_loss,train/loss,train/approx_kl,train/explained_variance,train/clip_fraction,train/entropy_loss,train/value_loss,train/n_updates
3,1,32768,8672,300.0,-117.04447547916668,,,,,,,,,,,
13,2,65536,4740,300.0,-102.94582159000001,1e-05,0.3,1.0011637210845947,-0.005682824949781206,0.5571167469024658,0.012877902,0.09425479,0.041693115234375,-5.678499528113752,0.3157921484094913,10
23,3,98304,4147,300.0,-82.07639827999999,1e-05,0.3,0.9949539303779602,-0.012870271812244028,-0.015768900513648987,0.016640777,0.7577093,0.0681121826171875,-5.667273019254208,0.031005351030034944,20
33,4,131072,3907,300.0,-69.78439812,1e-05,0.3,0.9898906946182251,-0.011849665058798564,-0.04378269612789154,0.016573917,0.865935,0.065313720703125,-5.644110265001655,0.017056255494753713,30
43,5,163840,3792,300.0,-61.040503720000004,1e-05,0.3,0.9841585159301758,-0.013813655224112154,0.0037661632522940636,0.017380742,0.93397534,0.07816162109375,-5.6217910731211305,0.010957785970867917,40
52,6,196608,3723,300.0,-57.84009623,1e-05,0.3,0.9793062210083008,-0.011420925824586448,0.012366220355033875,0.014214538,0.9562138,0.0598663330078125,-5.600096128135919,0.009257057099512167,50
62,7,229376,3672,300.0,-52.988066010000004,1e-05,0.3,0.9745235443115234,-0.010286388488748344,-0.014283772557973862,0.013452714,0.96398675,0.0537384033203125,-5.580332501605153,0.007518751488032649,60
72,8,262144,3633,300.0,-46.74862884,1e-05,0.3,0.9699640274047852,-0.012815556828854824,0.0041323257610201836,0.016890671,0.9684401,0.0782135009765625,-5.560275291930884,0.006598151919251905,70
81,9,294912,3602,297.17,-40.30207834,1e-05,0.3,0.967082679271698,-0.013367523408123815,0.010103384032845497,0.017968554,0.95926905,0.0910980224609375,-5.544268947001546,0.005507250328582814,80
91,10,327680,3576,275.98,-34.191003540000004,1e-05,0.3,0.9620705246925354,-0.01622002455887923,-0.034030091017484665,0.019842401,0.94849014,0.111151123046875,-5.526857846602797,0.010184809139582284,90
