time/time_elapsed,time/episodes,train/ent_coef,train/learning_rate,time/total_timesteps,rollout/ep_len_mean,train/n_updates,rollout/ep_rew_mean,train/actor_loss,train/critic_loss,time/fps,rollout/success_rate
2,4,0.5,0.01,4800,300.0,293,-107.840535875,-3.5361533164978027,0.013424420729279518,2297,0.0
2,8,,,4800,300.0,,-107.840535875,,,2296,0.0
2,12,,,4800,300.0,,-107.840535875,,,2296,0.0
2,16,,,4800,300.0,,-107.840535875,,,2296,0.0
3,20,0.5,0.01,9600,300.0,593,-112.0629233125,-4.8742451667785645,0.019862158223986626,2466,0.0
3,24,,,9600,300.0,,-112.0629233125,,,2466,0.0
3,28,,,9600,300.0,,-112.0629233125,,,2466,0.0
3,32,,,9600,300.0,,-112.0629233125,,,2466,0.0
5,36,0.5,0.01,14400,300.0,893,-114.99066741666668,-6.1915283203125,0.024486497044563293,2503,0.0
5,40,,,14400,300.0,,-114.99066741666668,,,2503,0.0
5,44,,,14400,300.0,,-114.99066741666668,,,2503,0.0
5,48,,,14400,300.0,,-114.99066741666668,,,2503,0.0
7,52,0.5,0.01,19200,300.0,1193,-115.600668890625,-7.500711441040039,0.018683534115552902,2511,0.0
7,56,,,19200,300.0,,-115.600668890625,,,2511,0.0
7,60,,,19200,300.0,,-115.600668890625,,,2511,0.0
7,64,,,19200,300.0,,-115.600668890625,,,2511,0.0
9,68,0.5,0.01,24000,300.0,1493,-116.81783552499999,-8.71771240234375,0.016314776614308357,2542,0.0
9,72,,,24000,300.0,,-116.81783552499999,,,2542,0.0
9,76,,,24000,300.0,,-116.81783552499999,,,2542,0.0
9,80,,,24000,300.0,,-116.81783552499999,,,2542,0.0
11,84,0.5,0.01,28800,300.0,1793,-116.94405043749998,-10.021992683410645,0.01822006143629551,2541,0.0
11,88,,,28800,300.0,,-116.94405043749998,,,2541,0.0
11,92,,,28800,300.0,,-116.94405043749998,,,2541,0.0
11,96,,,28800,300.0,,-116.94405043749998,,,2541,0.0
13,100,0.5,0.01,33600,300.0,2093,-117.38943622,-11.07411003112793,0.0211101695895195,2565,0.0
13,104,,,33600,300.0,,-117.38943622,,,2565,0.0
13,108,,,33600,300.0,,-117.38943622,,,2565,0.0
13,112,,,33600,300.0,,-117.38943622,,,2565,0.0
14,116,0.5,0.01,38400,300.0,2393,-118.18624958000001,-12.212671279907227,0.0342228040099144,2573,0.0
14,120,,,38400,300.0,,-118.18624958000001,,,2573,0.0
14,124,,,38400,300.0,,-118.18624958000001,,,2573,0.0
14,128,,,38400,300.0,,-118.18624958000001,,,2573,0.0
16,132,0.5,0.01,43200,300.0,2693,-117.51464433,-13.255866050720215,0.018573231995105743,2581,0.0
16,136,,,43200,300.0,,-117.51464433,,,2581,0.0
16,140,,,43200,300.0,,-117.51464433,,,2581,0.0
16,144,,,43200,300.0,,-117.51464433,,,2581,0.0
18,148,0.5,0.01,48000,300.0,2993,-117.34937509,-14.137454986572266,0.02400963380932808,2578,0.0
18,152,,,48000,300.0,,-117.34937509,,,2578,0.0
18,156,,,48000,300.0,,-117.34937509,,,2577,0.0
18,160,,,48000,300.0,,-117.34937509,,,2577,0.0
20,164,0.5,0.01,52800,300.0,3293,-115.99401,-15.040268898010254,0.023627236485481262,2594,0.0
20,168,,,52800,300.0,,-115.99401,,,2594,0.0
20,172,,,52800,300.0,,-115.99401,,,2594,0.0
20,176,,,52800,300.0,,-115.99401,,,2594,0.0
22,180,0.5,0.01,57600,300.0,3593,-115.13213934,-15.795853614807129,0.01882057636976242,2588,0.0
22,184,,,57600,300.0,,-115.13213934,,,2588,0.0
22,188,,,57600,300.0,,-115.13213934,,,2588,0.0
22,192,,,57600,300.0,,-115.13213934,,,2588,0.0
24,196,0.5,0.01,62400,300.0,3893,-115.52305515,-16.50660514831543,0.02797328494489193,2586,0.0
24,200,,,62400,300.0,,-115.52305515,,,2586,0.0
24,204,,,62400,300.0,,-115.52305515,,,2586,0.0
24,208,,,62400,300.0,,-115.52305515,,,2586,0.0
26,212,0.5,0.01,67200,300.0,4193,-115.90579715999998,-17.21674919128418,0.014743066392838955,2580,0.0
26,216,,,67200,300.0,,-115.90579715999998,,,2580,0.0
26,220,,,67200,300.0,,-115.90579715999998,,,2580,0.0
26,224,,,67200,300.0,,-115.90579715999998,,,2580,0.0
27,228,0.5,0.01,72000,300.0,4493,-115.09082809,-17.875492095947266,0.02510238252580166,2582,0.0
27,232,,,72000,300.0,,-115.09082809,,,2582,0.0
27,236,,,72000,300.0,,-115.09082809,,,2582,0.0
27,240,,,72000,300.0,,-115.09082809,,,2582,0.0
29,244,0.5,0.01,76800,300.0,4793,-115.01802244999999,-18.495769500732422,0.01427576132118702,2586,0.0
29,248,,,76800,300.0,,-115.01802244999999,,,2586,0.0
29,252,,,76800,300.0,,-115.01802244999999,,,2586,0.0
29,256,,,76800,300.0,,-115.01802244999999,,,2586,0.0
