raw/gen/rollout/ep_rew_mean,raw/gen/rollout/ep_len_mean,raw/gen/time/total_timesteps,raw/gen/time/iterations,raw/gen/time/time_elapsed,raw/gen/time/fps,raw/gen/train/value_loss,raw/gen/rollout/ep_rew_wrapped_mean,raw/gen/train/entropy_loss,raw/gen/train/clip_range,raw/gen/train/explained_variance,raw/gen/train/learning_rate,raw/gen/train/n_updates,raw/gen/train/approx_kl,raw/gen/train/clip_fraction,raw/gen/train/policy_gradient_loss,raw/gen/train/std,raw/gen/train/loss
-74.6438177755102,293.8979591836735,16384,1,7,2236,,,,,,,,,,,,
-76.84167136,294.02,32768,1,7,2304,1.418349229033629,178.9856267109209,-5.720012933388352,0.2,0.012663543,0.0004,5,0.005677559,0.0575927734375,-0.0016788506312877872,1.0113049745559692,0.20876160264015198
-71.78082157,294.02,49152,1,7,2267,0.3148201013013022,180.42964467525482,-5.73045057579875,0.2,0.08043158,0.0004,10,0.0050512375,0.054150390625,-0.0025234075274056522,1.0148332118988037,0.06423209607601166
-68.08300550000001,291.03,65536,1,7,2320,0.10675245505117345,183.6027198266983,-5.716132171452045,0.2,0.368308,0.0004,15,0.0081815375,0.101953125,-0.005565068222495029,1.0100408792495728,0.04800022393465042
-66.92534117000001,294.02,81920,1,7,2301,0.05819245807870175,186.18103490769863,-5.712577635422349,0.2,0.6482993,0.0004,20,0.009864904,0.14273681640625,-0.011151570087531582,1.0095946788787842,-0.013000838458538055
-59.83880203999999,289.03,98304,1,6,2376,0.13796777028037469,195.38778423905373,-5.675381541252136,0.2,0.66961396,0.0004,25,0.0115431715,0.1625244140625,-0.012690602065049461,0.9965338706970215,0.02401965856552124
-54.25548188,286.4,114688,1,6,2418,0.6737061277439352,205.55197301894427,-5.6277379039675,0.2,0.64579105,0.0004,30,0.011559527,0.1447021484375,-0.010151403141935588,0.9872729778289795,0.09177674353122711
-50.985929179999985,295.0,131072,1,6,2429,2.0296946038026364,219.60745459794998,-5.600632700696588,0.2,0.7588222,0.0004,35,0.012644975,0.16685791015625,-0.013694355513871414,0.9785321950912476,0.21204350888729095
-46.142545459999994,294.13,147456,1,6,2424,4.388401941489429,238.326881670328,-5.567492066696286,0.2,0.77889824,0.0004,40,0.00878839,0.1022216796875,-0.005413277939078398,0.9701828956604004,4.6616926193237305
-42.549766479999995,292.3,163840,1,6,2450,4.280329656042158,264.3607674706636,-5.5211574047803875,0.2,0.9015333,0.0004,45,0.011425925,0.13880615234375,-0.009480327394703636,0.9586904048919678,2.636857032775879
