2026-04-03 10:33:26 | Training started | num_expert_samples=5000
2026-04-03 10:33:26 | iter | train_reward | test_imitation_loss | test_disc_loss | test_disc_loss_expert | test_disc_loss_generated | test_gen_reward
2026-04-03 10:33:38 | 1 | -107.5168 | 4.2296 | 1.3594 | 0.7152 | 0.6442 | -111.0768
2026-04-03 10:33:49 | 2 | -106.1143 | 4.2374 | 1.3470 | 0.7014 | 0.6456 | -108.1636
2026-04-03 10:34:01 | 3 | -108.1849 | 4.2447 | 1.3364 | 0.6875 | 0.6489 | -111.5485
2026-04-03 10:34:12 | 4 | -108.0442 | 4.2458 | 1.3233 | 0.6729 | 0.6504 | -108.9146
2026-04-03 10:34:24 | 5 | -103.0708 | 4.2212 | 1.3121 | 0.6588 | 0.6533 | -104.1847
2026-04-03 10:34:36 | 6 | -101.8345 | 4.1883 | 1.2993 | 0.6448 | 0.6545 | -108.0243
2026-04-03 10:34:47 | 7 | -101.3779 | 4.1551 | 1.2930 | 0.6308 | 0.6622 | -95.0550
2026-04-03 10:34:59 | 8 | -98.8278 | 4.1262 | 1.2767 | 0.6164 | 0.6603 | -95.5381
2026-04-03 10:35:10 | 9 | -93.2814 | 4.1011 | 1.2704 | 0.6033 | 0.6671 | -84.5576
2026-04-03 10:35:21 | 10 | -89.6874 | 4.0595 | 1.2632 | 0.5909 | 0.6723 | -80.2154
2026-04-03 10:35:33 | 11 | -85.3260 | 4.0440 | 1.2520 | 0.5781 | 0.6739 | -79.7031
2026-04-03 10:35:44 | 12 | -79.6943 | 4.0144 | 1.2467 | 0.5665 | 0.6802 | -71.8475
2026-04-03 10:35:56 | 13 | -75.6695 | 3.9821 | 1.2396 | 0.5568 | 0.6828 | -71.4611
2026-04-03 10:36:07 | 14 | -66.9353 | 3.9560 | 1.2236 | 0.5457 | 0.6779 | -70.3307
2026-04-03 10:36:18 | 15 | -66.0362 | 3.9400 | 1.2256 | 0.5338 | 0.6918 | -62.2430
2026-04-03 10:36:29 | 16 | -58.5901 | 3.9119 | 1.2156 | 0.5245 | 0.6910 | -62.8601
2026-04-03 10:36:41 | 17 | -58.1245 | 3.8893 | 1.2145 | 0.5161 | 0.6984 | -58.2178
2026-04-03 10:36:52 | 18 | -59.0017 | 3.8616 | 1.2046 | 0.5100 | 0.6945 | -60.6052
2026-04-03 10:37:03 | 19 | -53.3119 | 3.8416 | 1.2144 | 0.5047 | 0.7097 | -52.3716
2026-04-03 10:37:14 | 20 | -54.6336 | 3.8254 | 1.2084 | 0.4987 | 0.7097 | -54.6184
2026-04-03 10:37:26 | 21 | -50.6162 | 3.8009 | 1.2199 | 0.4951 | 0.7248 | -54.3970
2026-04-03 10:37:37 | 22 | -53.9596 | 3.7833 | 1.2249 | 0.4952 | 0.7297 | -54.1398
2026-04-03 10:37:48 | 23 | -52.2331 | 3.7664 | 1.2328 | 0.4931 | 0.7397 | -54.1531
2026-04-03 10:37:59 | 24 | -60.6142 | 3.7453 | 1.2288 | 0.4963 | 0.7325 | -53.9758
2026-04-03 10:38:11 | 25 | -57.6207 | 3.7237 | 1.2350 | 0.5030 | 0.7320 | -60.9087
2026-04-03 10:38:22 | 26 | -60.4716 | 3.7105 | 1.2333 | 0.5053 | 0.7280 | -56.2115
2026-04-03 10:38:33 | 27 | -50.9233 | 3.6913 | 1.2158 | 0.5155 | 0.7003 | -62.1520
2026-04-03 10:38:44 | 28 | -57.1560 | 3.6744 | 1.2458 | 0.5270 | 0.7188 | -65.1744
2026-04-03 10:38:55 | 29 | -62.7771 | 3.6622 | 1.2310 | 0.5414 | 0.6896 | -64.3551
2026-04-03 10:39:06 | 30 | -61.4323 | 3.6405 | 1.2555 | 0.5588 | 0.6966 | -64.0396
2026-04-03 10:39:17 | 31 | -63.3184 | 3.6328 | 1.2362 | 0.5724 | 0.6638 | -70.0710
2026-04-03 10:39:29 | 32 | -63.9351 | 3.6103 | 1.2237 | 0.5929 | 0.6308 | -65.7230
2026-04-03 10:39:40 | 33 | -64.1724 | 3.5989 | 1.2251 | 0.6002 | 0.6249 | -68.5529
2026-04-03 10:39:51 | 34 | -66.2894 | 3.5901 | 1.2325 | 0.6138 | 0.6187 | -62.8947
2026-04-03 10:40:02 | 35 | -59.1469 | 3.5817 | 1.2048 | 0.6285 | 0.5763 | -70.5081
2026-04-03 10:40:13 | 36 | -75.9468 | 3.5768 | 1.2064 | 0.6281 | 0.5783 | -67.4159
2026-04-03 10:40:24 | 37 | -68.7728 | 3.5779 | 1.1678 | 0.6242 | 0.5436 | -63.1382
2026-04-03 10:40:35 | 38 | -70.0927 | 3.5751 | 1.1963 | 0.6292 | 0.5671 | -67.1089
2026-04-03 10:40:46 | 39 | -71.6508 | 3.5694 | 1.1354 | 0.6152 | 0.5202 | -76.8964
2026-04-03 10:40:57 | 40 | -71.1685 | 3.5722 | 1.1265 | 0.6118 | 0.5147 | -67.7578
2026-04-03 10:41:09 | 41 | -70.0526 | 3.5723 | 1.1223 | 0.5918 | 0.5305 | -72.0027
2026-04-03 10:41:20 | 42 | -77.1125 | 3.5812 | 1.1293 | 0.5827 | 0.5466 | -68.0511
2026-04-03 10:41:31 | 43 | -77.4243 | 3.5821 | 1.0674 | 0.5554 | 0.5120 | -70.9616
2026-04-03 10:41:42 | 44 | -70.0297 | 3.5835 | 1.0604 | 0.5446 | 0.5158 | -67.6543
2026-04-03 10:41:53 | 45 | -72.5868 | 3.5888 | 1.0422 | 0.5235 | 0.5187 | -74.7394
2026-04-03 10:42:04 | 46 | -68.6264 | 3.5955 | 1.0634 | 0.5086 | 0.5548 | -69.5598
